modelA,modelB,x0A,x0B,y0A,y0B,z0A,z0B,xfA,xfB,yfA,yfB,zfA,zfB,timeA,timeB,companyA,companyB,WindSpeed,Maneuver
1,2,16.6446577395926,22.6622047722836,20.1790020428129,22.1108108578518,4,4,27,22.73220391735,15,22.2939740437475,0,-0.862183843726655,1.74085912642977,0.164385288354683,2,1,36.012621099996,"SEPHORIZ"
1,1,0,30,10.8975519979489,6.8111769641389,-3.93422504200709,-3.01779974257851,27,1.03338241508726,15,13.1623307896919,0,-0.947532343255933,3.94088892110346,4.24664911951605,3,3,29.49650505799,"OVER(1,2)"
2,2,0,23.3390862597815,13.5457129260931,30,1.82901661844275,2.50115790851773,27,4.87835205583892,15,3.5699304467513,0,-0.0130875841428564,4.51677455086181,5.38936897810735,1,3,34.4482554667051,"SEPHORIZ"
1,2,0,19.8069895357776,20.3159959814602,30,-2.42729982233876,-0.931387018505755,27,4.15873328486037,15,4.47882016677172,0,-1.93993396701011,3.94634022395267,4.99225666761162,2,3,43.1884781332236,"PATHSEP"
1,1,0,0,24.2243120934079,22.4773485761322,-1.50646055405521,-2.76587048751777,27,24.9248588368887,15,17.5579227345817,0,0.397788866329116,4.08169399002191,3.65699640285525,3,1,37.8322765192648,"SEPHORIZ"
1,1,0,30,10.6745437790523,14.2930439516841,1.14610076136502,2.48190151835764,27,3.8971862542119,15,17.0647098261658,0,-0.244874871534353,3.9097492454666,3.76990169210396,3,1,41.2737148723415,"PATHSEP"
1,1,0,13.7304410143493,7.77726766857291,13.9961964794737,0.509521533919124,4,27,22.4445477847113,15,13.5162479550749,0,-3.32942897602454,3.99343182243945,1.51541446859122,1,2,0.535593127555863,"FIXPATH(2)"
2,1,15.9821657328663,3.5527136788005e-15,15.6266111471044,5.6020069551334,4,-0.87511848294977,27,23.2473139413451,15,24.519096619603,0,2.94955764290808,1.94438104245651,4.31582583743666,1,2,10.3039635922568,"FIXPATH(1)"
1,1,12.9042888249501,16.4066561282021,13.6187636199241,12.7816249770847,4,4,27,17.3911376209671,15,16.49580605509,0,-2.84036161421019,2.09708745062928,0.841316665731344,1,1,3.79961304799096,"FIXPATH(2)"
2,1,7.43944631220354,14.9792139061753,13.0535208189853,9.26888054010193,-4,-4,27,1.48963290977226,15,27.0814832974584,0,3.55829751777317,3.34078872774838,3.35339918727148,2,1,38.3864002974852,"SEPHORIZ"
1,2,14.3157470861806,19.3629936735021,12.235573746637,11.2144915799438,-4,-4,27,3.95919877819005,15,28.2615177232646,0,3.64907632183842,1.93384195289706,4.01744024678505,2,2,22.0888841610636,"FIXPATH(1)"
1,1,7.07103552569007,15.7851484872818,20.5814731277071,28.4639097389824,-4,-4,27,13.5277111929283,15,16.4102667685904,0,-1.62943355513781,3.00937194147757,1.7831998992208,1,1,25.8843867785309,"FIXPATH(2)"
1,2,0,15.1516839551206,12.3027375733294,16.9173680284278,1.20346390714711,4,27,13.0757576574276,15,13.4035124828942,0,-1.54920422386754,3.88014493767312,0.949543921483828,3,1,33.511176318337,"SEPHORIZ"
2,2,0,23.3080323221614,20.5257559802344,26.7579204584352,-2.17572295178069,-4,27,16.5046902869527,15,18.6742525800368,0,0.696357636251334,4.60747764379619,1.90392991861897,3,2,22.8828894921507,"FIXPATH(2)"
1,1,0,-3.5527136788005e-15,22.322765421648,21.8562918404937,-3.0471988396866,-1.84763972531684,27,27.7013892630973,15,12.9062217398875,0,-2.52146943900691,4.01985045541096,4.15987766056335,2,1,9.34840317298628,"OVER(1,2)"
2,2,0,30,10.296750217426,25.3738846816552,-0.828476319166285,-0.106418681031597,27,3.52252952567418,15,8.90027619654981,0,-1.44977358459294,4.56984775295142,5.20212959894056,2,1,40.7196435905952,"PATHSEP"
2,2,4.79659253855865,11.7900911322032,20.4007712120232,17.5669440629967,-4,-4,27,13.7654648453979,15,28.8926561786074,0,0.374445749911744,3.86471677159577,2.03533705435325,1,3,19.0875041871213,"OVER(2,1)"
1,1,0,6.83353323214177,20.5216796701167,30,-1.50519986806008,1.54650091901454,27,23.8855162075564,15,2.96136835966723,0,-1.90503052903427,3.94282571020202,4.59288503686077,2,3,23.4511123861801,"OVER(1,2)"
2,1,3.5527136788005e-15,23.7289643137481,1.36645526483207,9.24101645531023,2.49608716999478,4,27,10.0248915821249,15,20.9623749700438,0,-2.41752138651257,5.05816757276674,2.71868549868838,1,3,15.0910577983258,"OVER(1,2)"
2,2,0,26.3443808266519,25.7124180110093,14.3916884283417,1.35855287491238,4,27,7.19796031706152,15,26.595357992283,0,-3.77060678028715,4.84652666532839,3.97951182448728,2,3,1.37434258370865,"OVER(1,2)"
1,1,0,25.1924805941683,15.0161739651542,0,-0.462768207832373,-2.71525275916118,27,2.90190077342601,15,24.5444566157887,0,2.54037673663429,3.85770988725572,4.79425832984776,3,3,22.0455624830501,"BEFORE(1,2)"
1,2,0,18.9931904300284,28.0122754933545,30,1.91675415934314,0.34767036184097,27,3.99513022821485,15,5.20165839357017,0,-0.872497581410116,4.29042207137612,4.83444164390564,2,2,32.5097816565079,"SEPHORIZ"
2,2,-3.5527136788005e-15,0,15.6592346549005,21.8754624289006,-0.952973598669684,-0.195387123786017,27,29.5219117313746,15,5.01505229743968,0,-3.15026924057069,4.50413890260763,5.68742045089267,1,2,37.4120884277581,"SEPHORIZ"
1,1,3.62313496966207,0,24.0974963352385,24.8617042219304,4,1.48136025759698,27,28.282109528308,15,12.5323231294999,0,3.86441973175885,3.62771328769446,4.4205846127418,2,3,16.7584383024992,"BEFORE(1,2)"
2,1,0,21.8527662287468,20.566652478473,0,2.19053188016304,-1.8128454000943,27,16.8359937812898,15,26.4559950135543,0,1.35340243627515,4.60903740829905,3.87292512011362,2,1,13.5654726920429,"OVER(2,1)"
1,2,14.9249401732911,25.3207603260068,6.99607539596126,7.08358022728878,4,4,27,3.61834839891487,15,17.6852245408518,0,-2.19049856197859,2.14193687820678,4.14822329736926,2,2,8.56949702309794,"OVER(1,2)"
2,2,0,20.9480328920428,17.6137236803908,7.83343694004035,-2.45498531909918,-4,27,3.23307045731229,15,27.189244519492,0,3.03722979585524,4.53936465234082,4.51805989876399,1,3,17.3078605966235,"OVER(2,1)"
1,1,0,2.43170634578301,13.634168829932,0,-1.59991642147511,-3.83523428444757,27,14.12772769075,15,20.8784793990482,0,1.59910279942633,3.86880861417805,3.50176730954204,2,1,36.7992251716789,"SEPHORIZ"
1,1,0,17.7522658625372,15.7059771194382,30,1.65167507802101,0.956660168879276,27,9.7543704546168,15,3.16887609987066,0,0.887669269969605,3.86564224437808,3.99969463226055,1,3,28.7338841222327,"OVER(2,1)"
1,1,0,3.34954905234785,7.41908998849098,10.564554750915,-2.24404817109706,-4,27,28.3086787364516,15,19.1312729421652,0,3.66155151873267,4.01902138408408,3.91436301923216,1,2,35.0461008820842,"SEPHORIZ"
2,1,11.0105875036445,0,18.7674628169187,18.0709280763037,-4,1.71325529150171,27,23.4155895819407,15,20.25996197241,0,-3.94627748545218,2.81367988940612,3.45065834659568,1,1,10.8318165966072,"BEFORE(1,2)"
1,1,0,15.7180452635105,14.3235657900821,30,-0.636132355247545,-3.23806204774402,27,1.07288199807354,15,5.27623247050593,0,1.77406426712882,3.85942261563092,4.16532302220362,3,3,27.0976719411808,"OVER(2,1)"
1,1,0,24.3682977929787,5.67580379835172,30,3.38888925572048,0.878148185632563,27,8.62494519198394,15,2.73340391059605,0,0.609675045304056,4.10889516253637,4.49805510353877,2,3,21.3068696834394,"OVER(2,1)"
2,2,-3.5527136788005e-15,30,19.6585732995514,18.2956543656201,2.64860059357312,1.68858706657856,27,3.58188743391917,15,18.219118220569,0,-0.398898424272832,4.58758298053725,4.41667689360579,2,3,30.7513459482594,"SEPHORIZ"
2,2,0,1.40479603304787,18.8044248447378,0,-0.919305873205582,3.11131799139595,27,16.2221801137323,15,26.0982309707402,0,-1.88176778819496,4.54703142841228,5.06882928223295,3,3,20.6426472141991,"OVER(1,2)"
1,2,0,7.5529183744014,14.351051386107,23.5866780099125,2.06035326263079,4,27,29.8111387236256,15,6.56029897198902,0,-3.15361381399817,3.86940318160202,4.81184908354184,3,2,14.3133333966477,"OVER(1,2)"
1,2,0,26.6268587180893,11.5548973900162,13.8572321033274,3.1783306739252,4,27,4.16622608487466,15,20.8879901124898,0,-3.24943978580108,3.91448490697708,4.09012341549304,2,3,4.93638590354374,"OVER(1,2)"
2,2,3.5527136788005e-15,24.8596488598646,12.1662437140698,30,2.13432873258911,-0.592295649289543,27,7.86435953183422,15,1.33362276834715,0,2.03946613784943,4.53859290875622,5.57146636657312,3,2,23.6431981736701,"OVER(2,1)"
1,2,0,13.3292107093295,20.5937410657572,30,-1.1640061064517,2.89058078927157,27,12.7292849049941,15,8.10811270296196,0,-2.42356961523635,3.94255289538729,3.75041871138945,3,3,10.9253411019433,"OVER(1,2)"
1,2,0,0,21.5530095856584,21.4617249350055,-1.17385009225725,-1.12579817640893,27,28.4791173554939,15,9.82696302225616,0,1.37011496361392,3.97265502080634,5.14408214251382,3,3,36.9774533232589,"SEPHORIZ"
2,2,3.99363992524648,9.8683915011245,21.24864032082,0,4,0.73286464023526,27,12.2086451141672,15,22.4611715464707,0,2.60467052628924,4.02737638631455,3.77661270161105,3,3,19.739024216413,"OVER(2,1)"
1,2,3.5527136788005e-15,10.155858810121,7.56483815924781,4.7650159041312,-3.27185065048585,-4,27,1.64922440718565,15,25.5213802286702,0,0.484476218839078,4.02756922344957,3.80990938824731,2,2,35.5483363475039,"SEPHORIZ"
